% CAVITY name = CCL4
% bpm_1 : SCL_Diag:BPM00b
% bpm_2 : SCL_Diag:BPM03
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 548.9626 1578.7169
         0.95        31.516        1.2597      -0.48633     4.10378e5  -669254.64023 
         0.96        12.472        1.1524      -0.45133     1.22698e5  -554744.51186 
         0.97     -10.41451        1.0735      -0.42782  -86743.31404  -471953.95509 
         0.98     -31.07766        1.0129      -0.41172  -246739.88552  -409386.17645 
         0.99     -46.03657       0.96469      -0.40066  -373680.40015  -360398.34912 
            1     -56.09423       0.92534      -0.39321  -477487.94877  -320928.4017 
         1.01     -62.93984       0.89264      -0.38846  -564489.32529  -288368.68276 
         1.02     -67.78103       0.86507      -0.38579  -638895.71422  -260975.28583 
         1.03     -71.34523        0.8416      -0.38479  -703613.1054  -237540.98048 
         1.04     -74.06437       0.82151      -0.38516  -760709.10782  -217205.15113 
         1.05     -76.20217       0.80426       -0.3867  -811693.91805  -199338.61052 
 
