% CAVITY name = CCL1
% bpm_1 : CCL_Diag:BPM112
% bpm_2 : CCL_Diag:BPM212
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 648.3466 2038.8539
         0.95     -61.13352       0.77894      -0.35055  -303137.55613  -167109.62761 
         0.96      -68.3662        0.7441      -0.35206  -364744.15576  -144661.39198 
         0.97     -72.71532       0.72233      -0.35948  -411754.74407  -128126.51734 
         0.98     -75.58866       0.71004       -0.3715  -449275.20277  -115449.02004 
         0.99     -77.61669       0.70533      -0.38749  -480245.92598  -105442.30991 
            1     -79.11638        0.7072      -0.40719  -506470.93383  -97380.81934 
         1.01     -80.26215       0.71522      -0.43065  -529111.25608  -90802.42962 
         1.02     -81.15666       0.72934       -0.4581  -548940.46038  -85405.74372 
         1.03     -81.86322       0.74985      -0.48997  -566485.0909  -80993.80402 
         1.04     -82.42196       0.77733       -0.5269  -582105.16338  -77442.36535 
         1.05     -82.85822       0.81271      -0.56978  -596041.17547  -74682.25096 
 
