% CAVITY name = DTL6
% bpm_1 : CCL_Diag:BPM103
% bpm_2 : CCL_Diag:BPM112
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 630.0209 1544.6630
         0.95        59.853        1.3389      -0.52934     1.60311e6  -931060.21005 
         0.96        59.413        1.3025      -0.51466     1.48743e6  -879197.46428 
         0.97        58.946        1.2686      -0.50115     1.38162e6  -831947.78449 
         0.98        58.447         1.237      -0.48866     1.28438e6  -788700.07162 
         0.99        57.915        1.2074      -0.47706     1.19464e6  -748946.80034 
            1        57.348        1.1795      -0.46626      1.1115e6  -712262.9455 
         1.01        56.741        1.1533      -0.45617     1.03421e6  -678289.85472 
         1.02        56.092        1.1286       -0.4467     9.62119e5  -646722.76379 
         1.03        55.395        1.1051      -0.43781     8.94675e5  -617301.02973 
         1.04        54.648        1.0829      -0.42943     8.31403e5  -589800.41537 
         1.05        53.844        1.0617      -0.42151     7.71893e5  -564026.93975 
 
