% CAVITY name = CCL4
% bpm_1 : SCL_Diag:BPM01
% bpm_2 : SCL_Diag:BPM05
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 896.6919 2260.8929
         0.95        22.321        1.3377      -0.56424     1.80318e5  -439194.06197 
         0.96      -21.7986        1.2205      -0.51938  -123429.18996  -308616.8927 
         0.97      -58.1976        1.1333      -0.48753  -344856.91938  -213840.34975 
         0.98     -74.58941        1.0652      -0.46402  -514348.6126  -141777.44938 
         0.99      -82.5462        1.0102       -0.4462  -649149.12204  -84929.62723 
            1     -87.08097       0.96458      -0.43245  -759679.63345  -38736.71702 
         1.01     -89.98102       0.92591      -0.42174  -852575.64468    -282.36337 
         1.02     -91.98919       0.89265      -0.41338  -932249.70425         32379 
         1.03     -93.46133       0.86371      -0.40689  -1001744.84496         60591 
         1.04     -94.58747       0.83831      -0.40196  -1063225.34545         85311 
         1.05     -95.47776        0.8159      -0.39833  -1118271.7168     1.07239e5 
 
