% CAVITY name = CCL4
% bpm_1 : SCL_Diag:BPM01
% bpm_2 : SCL_Diag:BPM04
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 893.3283 1912.6108
         0.95          54.4        1.5069      -0.71648     1.85062e6  -1324905.55854 
         0.96        52.607        1.4136      -0.67199      1.4991e6  -1145872.068 
         0.97        50.483        1.3363      -0.63585     1.21435e6  -1001646.5666 
         0.98        47.939         1.271      -0.60581     9.78329e5  -882785.2106 
         0.99        44.852        1.2147      -0.58038     7.78937e5  -782965.66909 
            1        41.056        1.1654      -0.55852     6.07792e5  -697800.97635 
         1.01        36.324        1.1217      -0.53949     4.58893e5  -624154.10153 
         1.02        30.358        1.0825      -0.52275     3.27836e5  -559723.67394 
         1.03        22.797        1.0472      -0.50788     2.11317e5  -502783.81006 
         1.04        13.295        1.0149      -0.49457     1.06808e5  -452015.22961 
         1.05        1.7395       0.98538      -0.48257         12342  -406392.43228 
 
