% CAVITY name = CCL4
% bpm_1 : SCL_Diag:BPM00b
% bpm_2 : SCL_Diag:BPM03
% (amp E/E0) (arctg(d(phi_1)/d(phi2)), deg) (a11) (a12) (a21,eV/rad) (a22.eV/rad)
% first line (phi_off - phi_on) for bpm 1 and 2 
 546.9132 1572.7758
         0.95        55.621        1.2354      -0.44496      1.6646e6  -1138881.93927 
         0.96        53.401        1.1588      -0.41727     1.37247e6  -1019243.40512 
         0.97        50.897        1.0957      -0.39523      1.1361e6   -923394.174 
         0.98        48.063        1.0425       -0.3773     9.40403e5  -844859.3916 
         0.99        44.852       0.99676      -0.36247     7.75276e5  -779303.81407 
            1        41.206       0.95687      -0.35002      6.3371e5  -723719.57874 
         1.01        37.072       0.92162      -0.33944     5.10695e5  -675956.45551 
         1.02        32.395       0.89015      -0.33037      4.0255e5  -634437.74681 
         1.03        27.139       0.86179      -0.32252     3.06515e5  -597981.77697 
         1.04        21.294       0.83604      -0.31568     2.20479e5  -565685.97186 
         1.05        14.895       0.81249      -0.30969     1.42799e5  -536849.3952 
 
